  Grupa (razred)    Iznos plaće u razredu    Frekvencija    Relativna frekvencija
----------------  -----------------------  -------------  -----------------------
               1                   1483.9             18                    0.09
               2                   2427.8             24                    0.12
               3                   3371.7             22                    0.11
               4                   4315.6             23                    0.115
               5                   5259.5             20                    0.1
               6                   6203.4             18                    0.09
               7                   7147.3             18                    0.09
               8                   8091.2             17                    0.085
               9                   9035.1             19                    0.095
              10                   9979               20                    0.1
